closed	createdAt	number	title	url	research tags
Yes	07/22/2020 10:15 PM (UTC)	8761	Interaction between Autoscaler and Istio Proxy triggering memory leak	https://github.com/knative/serving/issues/8761	autoscaling, control-plane
Yes	07/18/2020 12:48 AM (UTC)	8685	Autoscaler incorrectly keeps an instance alive	https://github.com/knative/serving/issues/8685	autoscaling, config-challenge, routing / traffic
Yes	07/18/2020 12:28 AM (UTC)	8684	deleting a service should delete all pods, immediately	https://github.com/knative/serving/issues/8684	control-plane
Yes	07/17/2020 9:26 AM (UTC)	8675	Failed to create/update revision with error `already exists` 	https://github.com/knative/serving/issues/8675	status-conditions
Yes	07/08/2020 11:28 PM (UTC)	8584	Second revision results in service IngressNotConfigured when using Ambassador	https://github.com/knative/serving/issues/8584	version-semantics
Yes	07/02/2020 6:30 AM (UTC)	8540	Rework PodAutoscaler conditions to better fit K8s readiness model	https://github.com/knative/serving/issues/8540	autoscaling, controller-interactions, invocation-semantics, status-conditions
Yes	07/02/2020 1:29 AM (UTC)	8539	knative svc got stuck when multiple ksvc are generated in parallel and min-scale=0 	https://github.com/knative/serving/issues/8539	autoscaling, controller-interactions
Yes	06/20/2020 9:12 PM (UTC)	8390	Inconsistent scaling	https://github.com/knative/serving/issues/8390	autoscaling, config-difficulty
Yes	05/20/2020 6:38 AM (UTC)	8006	istio authentication policy causes knative activator healthcheck probes to fail	https://github.com/knative/serving/issues/8006	autoscaling, invocation-semantics
Yes	05/10/2020 4:42 PM (UTC)	7903	Failed to create a ksvc due to autoscaler performance	https://github.com/knative/serving/issues/7903	autoscaling, status-conditions
Yes	05/01/2020 8:49 PM (UTC)	7813	Knative service getting IngressNotConfigured error when scale to 30 istio ingress pods	https://github.com/knative/serving/issues/7813	status-conditions
Yes	04/30/2020 5:27 AM (UTC)	7792	Activator Load Balancing worse than Istio Default	https://github.com/knative/serving/issues/7792	autoscaling, routing / traffic
Yes	04/20/2020 12:25 AM (UTC)	7650	Old failing revisions don't scale down timely	https://github.com/knative/serving/issues/7650	autoscaling, controller-interactions, status-conditions, version-semantics
Yes	03/18/2020 7:40 PM (UTC)	7305	Cross-namespace Ownerreference used in Auto TLS	https://github.com/knative/serving/issues/7305	control-plane
Yes	03/18/2020 7:48 AM (UTC)	7294	More hosts entries in knative-ingress-gateway caused performance downgrade on creating a ksvc	https://github.com/knative/serving/issues/7294	controller-interactions, status-conditions
Yes	03/16/2020 1:39 PM (UTC)	7264	[https enabled]IngressNotConfigured with reason "Waiting for VirtualService to be ready" or “Waiting for load balancer to be ready”	https://github.com/knative/serving/issues/7264	status-conditions
Yes	03/13/2020 2:12 PM (UTC)	7241	[multi-container] toggling the default enable-multi-container from true to false will break things	https://github.com/knative/serving/issues/7241	config-challenge
Yes	03/06/2020 9:35 AM (UTC)	7162	Ksvc becomes Ready status even though KCert is not ready on autoTLS	https://github.com/knative/serving/issues/7162	status-conditions
Yes	02/21/2020 1:45 AM (UTC)	6935	minScale causes pods to be killed during deploy	https://github.com/knative/serving/issues/6935	autoscaling
Yes	02/20/2020 1:22 PM (UTC)	6913	Service update returned true before deploying the revision	https://github.com/knative/serving/issues/6913	status-conditions
Yes	02/14/2020 2:06 PM (UTC)	6853	Default configs not validated correctly	https://github.com/knative/serving/issues/6853	config-challenge
Yes	02/10/2020 1:04 PM (UTC)	6793	Deploying sample helloworld.go with Istio 1.3.1 (SDS on) results in route and knative service with status IngressNotConfigured	https://github.com/knative/serving/issues/6793	status-conditions
Yes	02/08/2020 2:53 AM (UTC)	6780	SKS in proxy mode indefinitely, always triggers scale to zero	https://github.com/knative/serving/issues/6780	config-difficulty
Yes	02/05/2020 5:59 AM (UTC)	6733	Autoscaler with minScale specified momentarily scaled below minScale	https://github.com/knative/serving/issues/6733	control-plane, controller-interactions
Yes	01/29/2020 7:19 PM (UTC)	6681	GRPC traffic should load balance during autoscale	https://github.com/knative/serving/issues/6681	autoscaling, routing / traffic
Yes	01/28/2020 1:09 AM (UTC)	6648	Ingress Prober Ready -> NotReady- > Ready flip-flop	https://github.com/knative/serving/issues/6648	controller-interactions, status-conditions
No	01/13/2020 10:03 PM (UTC)	6520	It is possible to bypass the queue-proxy	https://github.com/knative/serving/issues/6520	routing / traffic
No	01/12/2020 1:03 AM (UTC)	6504	Failing pod never times out	https://github.com/knative/serving/issues/6504	invocation-semantics, status-conditions
Yes	01/10/2020 7:52 AM (UTC)	6489	Get stuck in RevisionMissing/Unknown state when setting invalid user port	https://github.com/knative/serving/issues/6489	status-conditions
Yes	01/08/2020 9:33 PM (UTC)	6471	Defaulting hindered in the presence of BYO revision names and reconciliation of resources	https://github.com/knative/serving/issues/6471	config-challenge
